property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
JLL-20250106-001,JLL Residential,2025-01-06,2025-06-20,Rental,Under Offer,"107 Victoria Road, Canary Wharf, London E14 7F9",Canary Wharf,Tower Hamlets,E14 7F9,Semi-Detached,N/A,1,1,2337,3433,1.47,New Build,F,Underfloor,No,Permit Only,0,165,AGT-900,No,-0.428618,51.381314
JLL-20250106-002,JLL Residential,2025-01-06,2025-02-27,Rental,Withdrawn,"29 Victoria Road, Shoreditch, London E1 9H3",Shoreditch,Hackney,E1 9H3,Detached,N/A,2,3,687,5071,7.38,Fair,A,Heat Pump,Yes,Permit Only,0,52,AGT-480,No,-0.127959,51.316563
JLL-20250106-003,JLL Residential,2025-01-06,,Rental,Withdrawn,"99 Church Road, Wimbledon, London SW19 4H7",Wimbledon,Merton,SW19 4H7,Flat,N/A,4,3,1300,2377,1.83,New Build,B,Gas Central,Yes,Permit Only,19,107,AGT-244,No,0.079541,51.537028
JLL-20250106-004,JLL Residential,2025-01-06,,Rental,Let Agreed,"154 London Road, Stratford, London E15 1E8",Stratford,Newham,E15 1E8,Flat,N/A,1,1,2469,1868,0.76,Needs Renovation,B,Underfloor,No,Yes,1,4,AGT-928,Yes,-0.331045,51.466489
JLL-20250106-005,JLL Residential,2025-01-06,,Sale,Sold,"118 Victoria Road, Richmond, London TW9 1N7",Richmond,Richmond upon Thames,TW9 1N7,Maisonette,Freehold,4,4,453,694000,1532.01,Excellent,G,Underfloor,No,Permit Only,12,96,AGT-500,Yes,0.206434,51.453866
JLL-20250106-006,JLL Residential,2025-01-06,2025-02-23,Rental,Under Offer,"236 The Avenue, Wimbledon, London SW19 1C1",Wimbledon,Merton,SW19 1C1,Bungalow,N/A,2,3,1773,3257,1.84,Fair,A,Underfloor,Yes,No,0,48,AGT-370,Yes,-0.477946,51.390234
JLL-20250106-007,JLL Residential,2025-01-06,2025-03-24,Rental,Active,"3 Park Lane, Fulham, London SW6 4G9",Fulham,Hammersmith and Fulham,SW6 4G9,Studio,N/A,0,1,2730,1660,0.61,Good,D,Electric,Yes,Yes,1,77,AGT-592,Yes,-0.075833,51.52732
JLL-20250106-008,JLL Residential,2025-01-06,2025-05-29,Sale,Withdrawn,"76 Park Lane, Ealing, London W5 3M4",Ealing,Ealing,W5 3M4,Terraced House,Freehold,1,2,1640,1367000,833.54,Good,D,None,Yes,Yes,0,143,AGT-924,Yes,0.163563,51.501086
JLL-20250106-009,JLL Residential,2025-01-06,,Sale,Active,"7 Green Lane, Stratford, London E15 6N7",Stratford,Newham,E15 6N7,Flat,Freehold,1,2,468,743000,1587.61,Fair,A,Heat Pump,Yes,Permit Only,7,30,AGT-960,No,-0.352124,51.509264
JLL-20250106-010,JLL Residential,2025-01-06,2025-01-13,Sale,Under Offer,"143 Victoria Road, Bermondsey, London SE1 2K6",Bermondsey,Southwark,SE1 2K6,Detached,Leasehold,,4,2423,1910000,788.28,Fair,D,Electric,Yes,Yes,0,7,AGT-627,No,-0.433979,51.62666
JLL-20250106-011,JLL Residential,2025-01-06,2025-06-22,Rental,Withdrawn,"61 Grove Road, Stratford, London E15 4K6",Stratford,Newham,E15 4K6,Maisonette,N/A,5,1,991,2332,2.35,Needs Renovation,A,Electric,No,No,9,167,AGT-617,No,-0.270319,51.635822
JLL-20250106-012,JLL Residential,2025-01-06,2025-06-12,Rental,Let Agreed,"70 London Road, Battersea, London SW11 7A8",Battersea,Wandsworth,SW11 7A8,Maisonette,N/A,5,2,1266,2375,1.88,New Build,G,Electric,No,Yes,13,157,AGT-667,Yes,0.063157,51.494297
JLL-20250106-013,JLL Residential,2025-01-06,2025-05-24,Rental,Let Agreed,"160 Grove Road, Croydon, London CR0 7J8",Croydon,Croydon,CR0 7J8,Bungalow,N/A,3,2,1145,4130,3.61,New Build,G,Electric,No,No,0,138,AGT-209,Yes,-0.165274,51.683633
JLL-20250106-014,JLL Residential,2025-01-06,,Rental,Under Offer,"240 Station Road, Ealing, London W5 3F5",Ealing,Ealing,W5 3F5,Penthouse,N/A,1,1,1460,5508,3.77,Excellent,D,Electric,No,No,14,142,AGT-685,Yes,0.004075,51.311
JLL-20250106-015,JLL Residential,2025-01-06,,Rental,Let Agreed,"5 King Street, Croydon, London CR0 5F4",Croydon,Croydon,CR0 5F4,Maisonette,N/A,2,1,2090,2476,1.18,Needs Renovation,C,Electric,Yes,No,5,16,AGT-669,Yes,-0.414409,51.449089
